fecha,meteo,tipo_accidente,lesividad,distrito,direccion
2018-01-01 13:00:00,Despejado,Colision,Leve,ARGANZUELA                    ,CALLE DE ANCORA - PASEO DE LAS DELICIAS
2018-01-01 15:00:00,Despejado,Imprudencia,Leve,CENTRO                        ,CALLE DE ALCALA NUM                                                                                  44
2018-01-02 12:00:00,Despejado,Imprudencia,Leve,SALAMANCA                     ,CALLE DE SERRANO - CALLE DEL CONDE DE ARANDA
2018-01-03 13:00:00,Despejado,Colision,Leve,SALAMANCA                     ,PLAZA DE LA INDEPENDENCIA NUM                                                                        5
2018-01-03 15:00:00,Despejado,Colision,Leve,CIUDAD LINEAL                 ,CALLE DE RAMIREZ DE ARELLANO NUM                                                                     35
2018-01-03 22:00:00,Despejado,Colision,Leve,LATINA                        ,CALLE DE SEGOVIA - PASEO DE EXTREMADURA
2018-01-04 08:00:00,Despejado,Caida,Moderada,LATINA                        ,CALLE DE LOS YEBENES - CALLE DE SEPULVEDA
2018-01-04 09:00:00,Niebla,Caida,Leve,SAN BLAS                      ,AVENIDA DE CANILLEJAS A VICALVARO - CALLE DE LOS HERMANOS GARCIA NOBLEJAS
2018-01-04 15:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS             ,CALLE DE LA SIERRA DE TORNAVACAS - CALLE DE SAN JAIME
2018-01-04 20:00:00,Despejado,Imprudencia,Moderada,CIUDAD LINEAL                 ,CALLE DE GERMAN PEREZ CARRASCO - CALLE DEL DOCTOR VALLEJO
2018-01-05 16:00:00,Lluvia,Caida,Leve,RETIRO                        ,PASEO DEL FERNAN NUÑEZ
2018-01-07 16:00:00,Lluvia,Caida,Leve,FUENCARRAL-EL PARDO           ,CARRETERA DE COLMENAR NUM                                                                            14
2018-01-09 15:00:00,Despejado,Caida,Leve,ARGANZUELA                    ,CALLE DE LA BATALLA DEL SALADO NUM                                                                   1
2018-01-11 14:00:00,Despejado,Colision,Leve,CENTRO                        ,RONDA DE ATOCHA NUM                                                                                  2
2018-01-11 20:00:00,Despejado,Colision,Grave,RETIRO                        ,CALLE DE ALCALA - CALLE DE VELAZQUEZ
2018-01-12 11:00:00,Despejado,Caida,Leve,USERA                         ,PARQUE DE MADRID RIO (RIBERA OESTE) KM.                                                              6600
2018-01-13 01:00:00,Despejado,Caida,Leve,SALAMANCA                     ,CALLE DE GOYA NUM                                                                                    66
2018-01-15 09:00:00,Despejado,Caida,Leve,SALAMANCA                     ,CALLE DE GOYA NUM                                                                                    5
2018-01-15 16:00:00,Despejado,Colision,Leve,TETUAN                        ,CALLE DE LA INFANTA MERCEDES - CALLE DE SOR ANGELA DE LA CRUZ
