horario,festividad,lesividad,meteo,lon,lat,num_acc
Tarde,Festivo,No,Despejado,-3.7333333333333334,40.36,0
Tarde,Festivo,No,Despejado,-3.7226666666666666,40.36,0
Tarde,Festivo,No,Despejado,-3.712,40.36,0
Tarde,Festivo,No,Despejado,-3.68,40.36,0
Tarde,Festivo,No,Despejado,-3.6693333333333333,40.36,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.36,0
Tarde,Festivo,No,Despejado,-3.648,40.36,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.36,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.36,0
Tarde,Festivo,No,Despejado,-3.7333333333333334,40.368,0
Tarde,Festivo,No,Despejado,-3.7226666666666666,40.368,0
Tarde,Festivo,No,Despejado,-3.712,40.368,0
Tarde,Festivo,No,Despejado,-3.68,40.368,0
Tarde,Festivo,No,Despejado,-3.6693333333333333,40.368,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.368,0
Tarde,Festivo,No,Despejado,-3.648,40.368,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.368,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.368,0
Tarde,Festivo,No,Despejado,-3.7333333333333334,40.376,0
Tarde,Festivo,No,Despejado,-3.7013333333333334,40.376,0
Tarde,Festivo,No,Despejado,-3.6906666666666665,40.376,0
Tarde,Festivo,No,Despejado,-3.68,40.376,0
Tarde,Festivo,No,Despejado,-3.6693333333333333,40.376,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.376,0
Tarde,Festivo,No,Despejado,-3.648,40.376,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.376,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.376,0
Tarde,Festivo,No,Despejado,-3.7333333333333334,40.384,0
Tarde,Festivo,No,Despejado,-3.7226666666666666,40.384,0
Tarde,Festivo,No,Despejado,-3.712,40.384,0
Tarde,Festivo,No,Despejado,-3.68,40.384,0
Tarde,Festivo,No,Despejado,-3.6693333333333333,40.384,0
Tarde,Festivo,No,Despejado,-3.6586666666666665,40.384,0
Tarde,Festivo,No,Despejado,-3.648,40.384,0
Tarde,Festivo,No,Despejado,-3.6373333333333333,40.384,0
Tarde,Festivo,No,Despejado,-3.6266666666666665,40.384,0
Tarde,Festivo,No,Despejado,-3.7333333333333334,40.392,0
Tarde,Festivo,No,Despejado,-3.7013333333333334,40.392,0
