fecha,meteo,tipo_accidente,lesividad,distrito,direccion
2017-02-02 15:00:00,Lluvia,Caida,Leve,CENTRO                        ,CALLE  MAYOR NUM                                                                                     70
2017-02-02 22:00:00,Despejado,Colision,Leve,HORTALEZA                     ,AVENIDA DE LOS ANDES - GLORIETA DE YUCATAN
2017-02-03 00:00:00,Despejado,Colision,Leve,CHAMBERI                      ,CALLE DE BRAVO MURILLO - CALLE DE JOSE ABASCAL
2017-02-03 15:00:00,Lluvia,Colision,Leve,CIUDAD LINEAL                 ,AUTOVIA  M-30 CALZADA 2 - AVENIDA DE AMERICA
2017-02-03 22:00:00,Despejado,Caida,Leve,CENTRO                        ,CALLE DE SAN BERNARDO NUM                                                                            5
2017-02-04 13:00:00,Lluvia,Caida,Leve,SAN BLAS                      ,AVENIDA DE ARCENTALES NUM                                                                            7
2017-02-04 20:00:00,Lluvia,Colision,Leve,ARGANZUELA                    ,CALLE DE BUSTAMANTE - PASEO DE LAS DELICIAS
2017-02-05 12:00:00,Despejado,Caida,Leve,MONCLOA-ARAVACA               ,CALLE DEL ALMIRANTE FRANCISCO MORENO NUM                                                             13
2017-02-06 19:00:00,Despejado,Colision,Leve,ARGANZUELA                    ,GLORIETA DE EMBAJADORES NUM                                                                          5
2017-02-07 09:00:00,Despejado,Caida,Leve,CENTRO                        ,CALLE DE TORIJA - PLAZA DE LA MARINA ESPAÑOLA
2017-02-07 13:00:00,Despejado,Imprudencia,Leve,CHAMBERI                      ,CALLE DE ZURBARAN - PASEO DE LA CASTELLANA
2017-02-07 22:00:00,Despejado,Imprudencia,Grave,RETIRO                        ,AVENIDA DE MENENDEZ PELAYO NUM                                                                       32
2017-02-08 17:00:00,Despejado,Colision,Leve,PUENTE DE VALLECAS            ,CALLE DE LOS BARROS - RONDA  SUR
2017-02-09 16:00:00,Despejado,Caida,Leve,CENTRO                        ,PLAZA DE SANTA CATALINA DE LOS DONADOS NUM                                                           3
2017-02-10 09:00:00,Lluvia,Caida,Leve,CENTRO                        ,CALLE DE PRECIADOS NUM                                                                               28
2017-02-10 13:00:00,Lluvia,Colision,Leve,SALAMANCA                     ,CALLE DE ALCALA NUM                                                                                  149
2017-02-10 14:00:00,Lluvia,Colision,Leve,FUENCARRAL-EL PARDO           ,CALLE DEL ARROYO DEL MONTE - PLAZA DE LA PRADERA DEL SACERAL
2017-02-12 00:00:00,Lluvia,Colision,Leve,CENTRO                        ,PLAZA DEL EMPERADOR CARLOS V - RONDA DE ATOCHA
2017-02-13 19:00:00,Despejado,Caida,Leve,TETUAN                        ,CALLE DE LOS ALGODONALES NUM                                                                         10
2017-02-14 08:00:00,Despejado,Colision,Leve,CENTRO                        ,CALLE DE ALCALA NUM                                                                                  51
2017-02-14 09:00:00,Despejado,Colision,Grave,SALAMANCA                     ,CALLE DEL ALCALDE SAINZ DE BARANDA NUM                                                               92
2017-02-14 16:00:00,Despejado,Caida,Leve,MONCLOA-ARAVACA               ,PASEO DE LA PUERTA DEL ANGEL NUM                                                                     3
2017-02-14 21:00:00,Despejado,Colision,Leve,SAN BLAS                      ,ACCESO A LA AUTOVIA M-40 - AVENIDA DE CANILLEJAS A VICALVARO
2017-02-15 08:00:00,Despejado,Caida,Leve,CHAMARTIN                     ,CALLE DE SERRANO NUM                                                                                 103
2017-02-15 09:00:00,Despejado,Colision,Leve,CIUDAD LINEAL                 ,CALLE DE MALMOE - PLAZA DE ALSACIA
2017-02-16 07:00:00,Despejado,Colision,Leve,FUENCARRAL-EL PARDO           ,CALLE DE NUESTRA SEÑORA DE VALVERDE NUM                                                              45
2017-02-16 08:00:00,Despejado,Colision,Leve,MONCLOA-ARAVACA               ,CALLE DEL MIRADOR DE LA SIERRA NUM                                                                   12
2017-02-17 13:00:00,Despejado,Colision,Leve,SAN BLAS                      ,AUTOVIA  M-40 - AVENIDA DE CANILLEJAS A VICALVARO
2017-02-18 13:00:00,Despejado,Colision,Leve,HORTALEZA                     ,AVENIDA DE NICETO ALCALA ZAMORA - CALLE DE ARIADNA
2017-02-18 16:00:00,Despejado,Caida,Grave,CARABANCHEL                   ,AVENIDA DE LOS POBLADOS - CALLE DE LAS CERILLERAS
2017-02-19 13:00:00,Despejado,Imprudencia,Moderada,CHAMBERI                      ,CALLE DE SANTA FELICIANA NUM                                                                         6
2017-02-19 13:00:00,Despejado,Caida,Leve,FUENCARRAL-EL PARDO           ,CARRETERA DE PARDO A FUENCARRAL KM.                                                                  7
2017-02-19 20:00:00,Despejado,Colision,Leve,TETUAN                        ,AVENIDA DE ASTURIAS - CALLE DE SINESIO DELGADO
2017-02-20 23:00:00,Despejado,Colision,Leve,CARABANCHEL                   ,CALLE DE ZAIDA - CALLE DEL ARROYO VALDECELADA
2017-02-22 19:00:00,Despejado,Colision,Leve,MONCLOA-ARAVACA               ,PASEO DE CAMOENS Y VALERO
2017-02-24 19:00:00,Despejado,Colision,Grave,CHAMBERI                      ,CALLE DE GUZMAN EL BUENO - CALLE DEL GENERAL ASENSIO CABANILLAS
2017-02-25 10:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS             ,AVENIDA DE LA GAVIA - AVENIDA DEL CERRO MILANO
2017-02-25 14:00:00,Despejado,Imprudencia,Moderada,VILLAVERDE                    ,PASEO DE ALBERTO PALACIOS NUM                                                                        34
2017-02-25 16:00:00,Despejado,Caida,Grave,RETIRO                        ,PARQUE DEL RETIRO
2017-02-25 23:00:00,Despejado,Imprudencia,Leve,CENTRO                        ,PLAZA DE LA PUERTA DEL SOL NUM                                                                       1
2017-02-27 10:00:00,Despejado,Colision,Leve,CHAMBERI                      ,CALLE DE ZURBANO - PASEO DE EDUARDO DATO
2017-02-28 17:00:00,Despejado,Caida,Leve,SALAMANCA                     ,CALLE DE GOYA - CALLE DE SERRANO
2017-02-28 19:00:00,Despejado,Colision,Leve,CARABANCHEL                   ,CALLE DE CARCASTILLO NUM                                                                             25
2017-02-28 19:00:00,Despejado,Caida,Leve,CHAMARTIN                     ,CALLE DE LOS CONDES DEL VAL NUM                                                                      11
2017-02-28 19:00:00,Despejado,Caida,Leve,RETIRO                        ,AVENIDA DE MENENDEZ PELAYO NUM                                                                       38
2017-02-28 19:00:00,Despejado,Colision,Leve,SAN BLAS                      ,AVENIDA DE ARCENTALES - CALLE DE MIGUEL YUSTE
2017-02-28 20:00:00,Despejado,Caida,Leve,RETIRO                        ,CALLE DE LOPE DE RUEDA - CALLE DE O'DONNELL
2017-03-01 09:00:00,Despejado,Caida,Leve,HORTALEZA                     ,CARRETERA DE CANILLAS NUM                                                                            10
2017-03-02 08:00:00,Despejado,Caida,Leve,CENTRO                        ,CALLE DE SAN BERNARDO NUM                                                                            59
2017-03-03 14:00:00,Lluvia,Caida,Leve,CHAMBERI                      ,CALLE DE RAIMUNDO FERNANDEZ VILLAVERDE NUM                                                           30
2017-03-03 19:00:00,Lluvia,Caida,Leve,PUENTE DE VALLECAS            ,AVENIDA DE LAS GLORIETAS NUM                                                                         14
2017-03-03 19:00:00,Lluvia,Caida,Moderada,PUENTE DE VALLECAS            ,AVENIDA DE LAS GLORIETAS NUM                                                                         14
2017-03-05 15:00:00,Despejado,Caida,Leve,CHAMBERI                      ,CALLE DE GENOVA - PLAZA DE ALONSO MARTINEZ
2017-03-06 12:00:00,Despejado,Colision,Grave,CARABANCHEL                   ,CALLE DE LA OCA - CALLE DE RAMON SAINZ
2017-03-07 11:00:00,Despejado,Colision,Leve,VILLAVERDE                    ,CALLE DE SAN NORBERTO NUM                                                                            8
2017-03-07 18:00:00,Despejado,Caida,Leve,FUENCARRAL-EL PARDO           ,CARRETERA DE EL PARDO NUM                                                                            7
2017-03-07 22:00:00,Despejado,Caida,Leve,CENTRO                        ,PLAZA DE SANTA BARBARA NUM                                                                           6
2017-03-07 23:00:00,Despejado,Colision,Leve,PUENTE DE VALLECAS            ,PLAZA DE LA ASAMBLEA DE MADRID
2017-03-08 07:00:00,Despejado,Colision,Leve,RETIRO                        ,CALLE DE ALFONSO XII NUM                                                                             52
2017-03-08 13:00:00,Despejado,Colision,Leve,CHAMBERI                      ,CALLE DE FERNANDO EL CATOLICO NUM                                                                    25
2017-03-08 23:00:00,Despejado,Caida,Leve,CHAMBERI                      ,CALLE DE MARIA PANES - CALLE DE MODESTO LAFUENTE
2017-03-09 15:00:00,Despejado,Caida,Leve,ARGANZUELA                    ,CALLE DE MURCIA - CALLE DE RAFAEL DE RIEGO
2017-03-09 16:00:00,Despejado,Colision,Leve,MONCLOA-ARAVACA               ,CALLE DE EMERENCIANA ZURILLA - CALLE DE SAN RESTITUTO
2017-03-09 19:00:00,Despejado,Colision,Leve,CIUDAD LINEAL                 ,CALLE DE ARTURO SORIA - CUESTA DEL SAGRADO CORAZON
2017-03-09 20:00:00,Despejado,Colision,Leve,VICALVARO                     ,AVENIDA DE LAS COMUNIDADES - BULEVAR DE JOSE PRAT
2017-03-10 09:00:00,Despejado,Colision,Leve,CARABANCHEL                   ,CALLE DEL GENERAL RICARDOS NUM                                                                       177
2017-03-10 09:00:00,Despejado,Colision,Leve,CARABANCHEL                   ,CALLE DEL GENERAL RICARDOS NUM                                                                       177
2017-03-10 09:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS             ,CARRETERA DE VILLAVERDE A VALLECAS KM.                                                               1300
2017-03-10 14:00:00,Despejado,Colision,Leve,ARGANZUELA                    ,CALLE DE SAN ALEJANDRO NUM                                                                           6
2017-03-10 17:00:00,Despejado,Caida,Leve,MONCLOA-ARAVACA               ,GLORIETA DE LOS PATINES - PASEO DE LA PUERTA DEL ANGEL
2017-03-10 18:00:00,Despejado,Caida,Leve,BARAJAS                       ,CALLE DE BUGEDO - CALLE DE TRESPADERNE
2017-03-10 18:00:00,Despejado,Colision,Grave,MONCLOA-ARAVACA               ,CARRIL  ANILLO VERDE CICLISTA KM.                                                                    43300
2017-03-12 15:00:00,Despejado,Colision,Leve,TETUAN                        ,AVENIDA DEL PRESIDENTE CARMONA - CALLE DE LOS MARTIRES DE LA VENTILLA
2017-03-13 08:00:00,Despejado,Colision,Leve,CENTRO                        ,CALLE DE SAN BERNARDO - CALLE DE SAN VICENTE FERRER
2017-03-14 09:00:00,Despejado,Colision,Leve,FUENCARRAL-EL PARDO           ,CALLE DE LA COSTA BRAVA NUM                                                                          17
2017-03-14 21:00:00,Despejado,Caida,Leve,ARGANZUELA                    ,CALLE DE EMBAJADORES NUM                                                                             76
2017-03-15 17:00:00,Despejado,Colision,Leve,TETUAN                        ,CALLE DE BRAVO MURILLO NUM                                                                           288
2017-03-15 19:00:00,Despejado,Imprudencia,Leve,CENTRO                        ,PLAZA DE GABRIEL MIRO NUM                                                                            3
2017-03-16 14:00:00,Despejado,Caida,Leve,CENTRO                        ,CALLE DEL CABALLERO DE GRACIA NUM                                                                    36
2017-03-16 20:00:00,Despejado,Colision,Leve,SALAMANCA                     ,CALLE DE FRANCISCO SILVELA NUM                                                                       50
2017-03-17 13:00:00,Despejado,Colision,Grave,CENTRO                        ,CALLE DE SAN BERNARDO - CALLE DEL PEZ
2017-03-17 15:00:00,Despejado,Caida,Leve,ARGANZUELA                    ,PASEO DE SANTA MARIA DE LA CABEZA NUM                                                                10
2017-03-17 22:00:00,Despejado,Colision,Leve,CHAMBERI                      ,CALLE DE LUCHANA - GLORIETA DE BILBAO
2017-03-18 14:00:00,Despejado,Caida,Leve,ARGANZUELA                    ,CALLE DE SEGOVIA NUM                                                                                 57
2017-03-19 10:00:00,Despejado,Caida,Leve,CENTRO                        ,CALLE DE LA MONTERA - CALLE DE LOS JARDINES
2017-03-19 18:00:00,Despejado,Imprudencia,Moderada,RETIRO                        ,PASEO DEL FERNAN NUÑEZ
2017-03-20 15:00:00,Despejado,Imprudencia,Moderada,RETIRO                        ,AVENIDA DE LA CIUDAD DE BARCELONA - CALLE DEL ALBERCHE
2017-03-20 18:00:00,Despejado,Colision,Leve,HORTALEZA                     ,AVENIDA DE LOS ANDES NUM                                                                             46
2017-03-20 21:00:00,Despejado,Imprudencia,Moderada,CHAMBERI                      ,CALLE DE BRAVO MURILLO NUM                                                                           80
2017-03-21 16:00:00,Despejado,Caida,Leve,PUENTE DE VALLECAS            ,BARRIO DE LA CELSA - CARRETERA DE VILLAVERDE A VALLECAS
2017-03-21 16:00:00,Despejado,Colision,Leve,SALAMANCA                     ,CALLE DE AYALA NUM                                                                                   15
2017-03-21 16:00:00,Despejado,Colision,Moderada,USERA                         ,CALLE DE DOLORES BARRANCO - CALLE DE LOS FERROVIARIOS
2017-03-21 16:00:00,Despejado,Colision,Leve,USERA                         ,CALLE DE DOLORES BARRANCO - CALLE DE LOS FERROVIARIOS
2017-03-21 16:00:00,Despejado,Colision,Leve,VILLAVERDE                    ,PASEO DE LOS FERROVIARIOS NUM                                                                        11
2017-03-22 12:00:00,Despejado,Colision,Leve,ARGANZUELA                    ,CALLE DE BOLIVAR - CALLE DEL BRONCE
2017-03-23 09:00:00,Despejado,Colision,Leve,PUENTE DE VALLECAS            ,CALLE DE MOHERNANDO - CALLE DE PIO FELIPE
2017-03-23 21:00:00,Despejado,Caida,Leve,ARGANZUELA                    ,PASEO DE SANTA MARIA DE LA CABEZA NUM                                                                23
2017-03-24 21:00:00,Despejado,Colision,Grave,CIUDAD LINEAL                 ,CALLE DE ALCALA NUM                                                                                  413
2017-03-25 08:00:00,Nieve,Caida,Leve,ARGANZUELA                    ,PASEO DE YESERIAS NUM                                                                                29
2017-03-26 16:00:00,Despejado,Imprudencia,Moderada,TETUAN                        ,CALLE DE BRAVO MURILLO NUM                                                                           299
2017-03-27 19:00:00,Despejado,Imprudencia,Moderada,RETIRO                        ,PARQUE DEL RETIRO - PASEO DEL FERNAN NUÑEZ
2017-03-28 14:00:00,Despejado,Colision,Grave,CARABANCHEL                   ,AVENIDA DE LA PESETA - CALLE DEL LUIS DE ORO
2017-03-29 16:00:00,Despejado,Colision,Leve,HORTALEZA                     ,CALLE DE BELISANA NUM                                                                                17
2017-03-30 11:00:00,Despejado,Colision,Leve,HORTALEZA                     ,CALLE DE LUIS MARTINEZ FEDUCHI NUM                                                                   1
2017-03-31 07:00:00,Despejado,Imprudencia,Moderada,CHAMBERI                      ,CALLE DE ZURBANO - PASEO DE EDUARDO DATO
