fecha,dia,year,horario,festividad,tipo_accidente,lesividad,meteo,distrito,direccion,lon,lat
2019-02-06 10:00:00,2019-02-06 00:00:00,2019,Mañana,Laborable,Colision,Moderada,Despejado,SALAMANCA,CALLE JUAN BRAVO 17 Madrid,-3.6816768,40.4330227
2019-02-06 08:00:00,2019-02-06 00:00:00,2019,Mañana,Laborable,Imprudencia,Moderada,Despejado,FUENCARRAL-EL PARDO,AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA Madrid,-3.6854183,40.48855959999999
2019-02-07 19:00:00,2019-02-07 00:00:00,2019,Tarde,Laborable,Caida,Leve,Despejado,CHAMARTÍN,CALLE PRINCIPE DE VERGARA / GTA. LOPEZ DE HOYOS Madrid,-3.679689999999999,40.4409
2019-02-08 22:00:00,2019-02-08 00:00:00,2019,Noche,Laborable,Caida,Leve,Despejado,CENTRO,CALLE ALCALA 13 Madrid,-3.7007596,40.4179651
2019-02-08 22:00:00,2019-02-08 00:00:00,2019,Noche,Laborable,Colision,Leve,Despejado,CENTRO,CALLE MESON DE PAREDES / CALLE JUANELO Madrid,-3.705046,40.4113828
2019-02-10 16:00:00,2019-02-10 00:00:00,2019,Tarde,Festivo,Colision,Leve,Despejado,RETIRO,PASEO. REINA CRISTINA / CALLE ANDRES TORREJON Madrid,-3.6820606,40.4069928
2019-02-11 16:00:00,2019-02-11 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,SALAMANCA,CALLE SERRANO 8 Madrid,-3.6882153,40.4216448
2019-02-11 14:00:00,2019-02-11 00:00:00,2019,Tarde,Laborable,Colision,Moderada,Despejado,SALAMANCA,CALLE ALCALA 101 Madrid,-3.6834493,40.4215419
2019-02-11 09:00:00,2019-02-11 00:00:00,2019,Mañana,Laborable,Colision,Leve,Despejado,CHAMBERÍ,CALLE MIGUEL ANGEL 29 Madrid,-3.6917622,40.4376104
2019-02-12 22:00:00,2019-02-12 00:00:00,2019,Noche,Laborable,Colision,Moderada,Despejado,CENTRO,PASEO. PRADO 2 Madrid,-3.693998600000001,40.41884930000001
2019-02-12 19:00:00,2019-02-12 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,CHAMBERÍ,GTA. QUEVEDO / CALLE SAN BERNARDO Madrid,-3.7044863,40.4335071
2019-02-13 18:00:00,2019-02-13 00:00:00,2019,Tarde,Laborable,Imprudencia,Moderada,Despejado,HORTALEZA,CALLE SILVANO / CALLE FRANCISCO MOSQUEDA Madrid,-3.628083299999999,40.4626547
2019-02-13 14:00:00,2019-02-13 00:00:00,2019,Tarde,Laborable,Colision,Moderada,Despejado,SALAMANCA,CALLE CONDE DE PEÑALVER 38 Madrid,-3.6749609,40.4290821
2019-02-14 20:00:00,2019-02-14 00:00:00,2019,Tarde,Laborable,Imprudencia,Leve,Despejado,CHAMBERÍ,CALLE SANTA ENGRACIA 6 Madrid,-3.6955671,40.4286654
2019-02-14 20:00:00,2019-02-14 00:00:00,2019,Tarde,Laborable,Imprudencia,Leve,Despejado,CHAMBERÍ,CALLE SANTA ENGRACIA 6 Madrid,-3.6955671,40.4286654
2019-02-14 18:00:00,2019-02-14 00:00:00,2019,Tarde,Laborable,Caida,Leve,Despejado,RETIRO,AVDA. MENENDEZ PELAYO 38 Madrid,-3.6807097,40.4051017
2019-02-14 14:00:00,2019-02-14 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,RETIRO,PASEO. INFANTA ISABEL 17 Madrid,-3.6874172,40.4069569
2019-02-15 14:00:00,2019-02-15 00:00:00,2019,Tarde,Laborable,Caida,Leve,Despejado,RETIRO,GTA. ANGEL CAIDO 4 Madrid,-3.6878257,40.4098609
2019-02-16 17:00:00,2019-02-16 00:00:00,2019,Tarde,Vispera,Caida,Moderada,Despejado,ARGANZUELA,PASEO. CHOPERA 2 Madrid,-3.7022263,40.39584910000001
2019-02-16 14:00:00,2019-02-16 00:00:00,2019,Tarde,Vispera,Colision,Leve,Despejado,CENTRO,RONDA DE VALENCIA CON GLORIETA DE EMBAJADORES Madrid,-3.7022481,40.40512409999999
2019-02-17 09:00:00,2019-02-17 00:00:00,2019,Mañana,Festivo,Colision,Grave,Despejado,CARABANCHEL,AVDA. POBLADOS / CALLE ANTONIO ROMERO Madrid,-3.7312235,40.3734001
2019-02-20 08:00:00,2019-02-20 00:00:00,2019,Mañana,Laborable,Caida,Leve,Despejado,CENTRO,CALLE ATOCHA 104 Madrid,-3.695468,40.4102417
2019-02-22 20:00:00,2019-02-22 00:00:00,2019,Tarde,Laborable,Colision,Moderada,Despejado,CARABANCHEL,CALLE GENERAL RICARDOS 18 Madrid,-3.7183794,40.39652239999999
2019-02-23 21:00:00,2019-02-23 00:00:00,2019,Noche,Vispera,Colision,Leve,Despejado,MONCLOA-ARAVACA,PLAZA. ESPAÑA 16 Madrid,-3.713224,40.4237064
2019-02-25 17:00:00,2019-02-25 00:00:00,2019,Tarde,Laborable,Caida,Moderada,Despejado,CENTRO,CALLE ESPARTEROS 12 Madrid,-3.7053396,40.41565739999999
2019-02-27 19:00:00,2019-02-27 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,CHAMBERÍ,PASEO. GENERAL MARTINEZ CAMPOS / CALLE MODESTO LAFUENTE Madrid,-3.6965022,40.43502460000001
2019-02-27 10:00:00,2019-02-27 00:00:00,2019,Mañana,Laborable,Caida,Leve,Despejado,RETIRO,PASEO. FERNAN NUÑEZ / PASEO. VENEZUELA Madrid,-3.680099299999999,40.416272600000006
2019-02-28 08:00:00,2019-02-28 00:00:00,2019,Mañana,Laborable,Caida,Leve,Despejado,CHAMBERÍ,PASEO. CASTELLANA 29 Madrid,-3.6896221,40.4309218
2019-03-01 21:00:00,2019-03-01 00:00:00,2019,Noche,Laborable,Colision,Leve,Despejado,RETIRO,PASEO. PRADO 13 Madrid,-3.694130899999999,40.4142894
2019-03-01 13:00:00,2019-03-01 00:00:00,2019,Tarde,Laborable,Caida,Leve,Despejado,CHAMBERÍ,CALLE MODESTO LAFUENTE 61 Madrid,-3.6958867,40.44438780000001
2019-03-01 12:00:00,2019-03-01 00:00:00,2019,Mañana,Laborable,Caida,Leve,Despejado,ARGANZUELA,RONDA. ATOCHA 7 Madrid,-3.6948477,40.4069616
2019-03-02 14:00:00,2019-03-02 00:00:00,2019,Tarde,Vispera,Caida,Grave,Despejado,ARGANZUELA,PASEO. MOLINO 1 Madrid,-3.694092599999999,40.3905654
2019-03-02 04:00:00,2019-03-02 00:00:00,2019,Noche,Vispera,Caida,Leve,Despejado,CENTRO,PASEO. PRADO 48 Madrid,-3.692809,40.40979420000001
2019-03-03 23:00:00,2019-03-03 00:00:00,2019,Noche,Festivo,Colision,Leve,Despejado,CENTRO,PLAZA. EMPERADOR CARLOS V 1 Madrid,-3.6930305,40.4069594
2019-03-04 16:00:00,2019-03-04 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,MORATALAZ,CALLE ARROYO DE LA MEDIA LEGUA / CALLE CORREGIDOR DIEGO CABEZA DE VACA Madrid,-3.6560659,40.4101249
2019-03-04 16:00:00,2019-03-04 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,RETIRO,CALLE ALFONSO XII / CALLE MONTALBAN Madrid,-3.6888065,40.417810300000006
2019-03-04 13:00:00,2019-03-04 00:00:00,2019,Tarde,Laborable,Colision,Moderada,Despejado,CHAMARTÍN,PASEO. CASTELLANA 92 Madrid,-3.6908818,40.4432324
2019-03-08 21:00:00,2019-03-08 00:00:00,2019,Noche,Laborable,Colision,Moderada,Despejado,HORTALEZA,CALLE PRINCIPE CARLOS / CALLE MARIA TUDOR Madrid,-3.659097699999999,40.4955912
2019-03-08 21:00:00,2019-03-08 00:00:00,2019,Noche,Laborable,Colision,Moderada,Despejado,HORTALEZA,CALLE PRINCIPE CARLOS / CALLE MARIA TUDOR Madrid,-3.659097699999999,40.4955912
2019-03-08 17:00:00,2019-03-08 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,TETUÁN,PASEO. CASTELLANA / CALLE RAIMUNDO FERNANDEZ VILLAVERDE Madrid,-3.6913488,40.4463472
2019-03-10 19:00:00,2019-03-10 00:00:00,2019,Tarde,Festivo,Colision,Moderada,Despejado,LATINA,PASEO. ERMITA DEL SANTO / CALLE VIA CARPETANA Madrid,-3.7332813,40.3996275
2019-03-10 15:00:00,2019-03-10 00:00:00,2019,Tarde,Festivo,Colision,Grave,Despejado,HORTALEZA,CALLE SANTA ADELA 14 Madrid,-3.6490489,40.479068
2019-03-10 15:00:00,2019-03-10 00:00:00,2019,Tarde,Festivo,Colision,Leve,Despejado,HORTALEZA,CALLE SANTA ADELA 14 Madrid,-3.6490489,40.479068
2019-03-11 22:00:00,2019-03-11 00:00:00,2019,Noche,Laborable,Colision,Leve,Despejado,CENTRO,PLAZA. ESPAÑA / CALLE BAILEN Madrid,-3.713318299999999,40.4221995
2019-03-11 21:00:00,2019-03-11 00:00:00,2019,Noche,Laborable,Caida,Moderada,Despejado,SALAMANCA,CALLE ALCALDE SAINZ DE BARANDA / AUTOV. M-30 Madrid,-3.674558899999999,40.416658700000006
2019-03-12 09:00:00,2019-03-12 00:00:00,2019,Mañana,Laborable,Colision,Moderada,Despejado,CHAMARTÍN,CALLE JORGE MANRIQUE - CALLE SERRANO Madrid,-3.685857700000001,40.4427903
2019-03-15 22:00:00,2019-03-15 00:00:00,2019,Noche,Laborable,Colision,Moderada,Despejado,TETUÁN,CALLE BRAVO MURILLO 305 Madrid,-3.697591099999999,40.462476
2019-03-15 20:00:00,2019-03-15 00:00:00,2019,Tarde,Laborable,Caida,Moderada,Despejado,RETIRO,AVDA. CIUDAD DE BARCELONA / CALLE SECO Madrid,-3.6715486,40.3995373
2019-03-16 18:00:00,2019-03-16 00:00:00,2019,Tarde,Vispera,Colision,Leve,Despejado,CHAMBERÍ,CALLE ALMAGRO 25 Madrid,-3.6923171,40.43163089999999
2019-03-17 12:00:00,2019-03-17 00:00:00,2019,Mañana,Festivo,Imprudencia,Leve,Despejado,USERA,"PQUE. MADRID RIO, +00700E Madrid",-3.6781098,40.35628270000001
2019-03-17 12:00:00,2019-03-17 00:00:00,2019,Mañana,Festivo,Imprudencia,Leve,Despejado,USERA,"PQUE. MADRID RIO, +00700E Madrid",-3.6781098,40.35628270000001
2019-03-18 14:00:00,2019-03-18 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,CENTRO,CALLE SAN BERNARDO 43 Madrid,-3.7075514,40.4238011
2019-03-18 00:00:00,2019-03-18 00:00:00,2019,Noche,Laborable,Caida,Grave,Despejado,CENTRO,CUSTA. SAN VICENTE / CALLE BAILEN Madrid,-3.714785,40.42108899999999
2019-03-19 08:00:00,2019-03-19 00:00:00,2019,Mañana,Laborable,Colision,Leve,Despejado,FUENCARRAL-EL PARDO,PLAZA. LEALTAD / PASEO. PRADO Madrid,-3.6935372,40.4153481
2019-03-20 16:00:00,2019-03-20 00:00:00,2019,Tarde,Laborable,Caida,Leve,Despejado,CENTRO,CALLE ALACALA - PASEO DEL PRADO Madrid,-3.6936264,40.4191319
2019-03-20 10:00:00,2019-03-20 00:00:00,2019,Mañana,Laborable,Imprudencia,Leve,Despejado,CHAMARTÍN,PASEO. ERMITA DEL SANTO / GTA. PUENTE DE SEGOVIA Madrid,-3.7242048,40.4140469
2019-03-20 10:00:00,2019-03-20 00:00:00,2019,Mañana,Laborable,Imprudencia,Leve,Despejado,CHAMARTÍN,PASEO. ERMITA DEL SANTO / GTA. PUENTE DE SEGOVIA Madrid,-3.7242048,40.4140469
2019-03-22 16:00:00,2019-03-22 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,CIUDAD LINEAL,CALLE JOSE SILVA 2 Madrid,-3.6571306,40.45560370000001
2019-03-22 14:00:00,2019-03-22 00:00:00,2019,Tarde,Laborable,Caida,Grave,Despejado,VILLAVERDE,CALLE HULLA / AVDA. LOS ROSALES Madrid,-3.6692675,40.34008970000001
2019-03-22 14:00:00,2019-03-22 00:00:00,2019,Tarde,Laborable,Imprudencia,Leve,Despejado,CENTRO,CALLE ATOCHA 109 Madrid,-3.6949,40.41067
2019-03-22 14:00:00,2019-03-22 00:00:00,2019,Tarde,Laborable,Imprudencia,Moderada,Despejado,CENTRO,CALLE ATOCHA 109 Madrid,-3.6949,40.41067
2019-03-22 14:00:00,2019-03-22 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,CHAMARTÍN,PASEO. LA HABANA / CALLE SANTIAGO BERNABEU Madrid,-3.6885236,40.44990870000001
2019-03-24 22:00:00,2019-03-24 00:00:00,2019,Noche,Festivo,Colision,Leve,Despejado,CENTRO,CALLE HORTALEZA 100 Madrid,-3.6975687000000006,40.4246861
2019-03-24 22:00:00,2019-03-24 00:00:00,2019,Noche,Festivo,Colision,Leve,Despejado,CENTRO,CALLE HORTALEZA 100 Madrid,-3.6975687000000006,40.4246861
2019-03-24 02:00:00,2019-03-24 00:00:00,2019,Noche,Festivo,Caida,Leve,Despejado,TETUÁN,CALLE BRAVO MURILLO 120 Madrid,-3.7033957,40.4486645
2019-03-25 23:00:00,2019-03-25 00:00:00,2019,Noche,Laborable,Imprudencia,Moderada,Despejado,CENTRO,CALLE HORTALEZA 18 Madrid,-3.700349,40.421186
2019-03-25 23:00:00,2019-03-25 00:00:00,2019,Noche,Laborable,Imprudencia,Moderada,Despejado,CENTRO,CALLE HORTALEZA 18 Madrid,-3.700349,40.421186
2019-03-26 19:00:00,2019-03-26 00:00:00,2019,Tarde,Laborable,Otro,Leve,Despejado,CHAMARTÍN,"CALLE JOAQUIN COSTA, FRENTE Nº 6 Madrid",-3.686865,40.446089
2019-03-26 13:00:00,2019-03-26 00:00:00,2019,Tarde,Laborable,Caida,Leve,Despejado,SALAMANCA,PLAZA. CIBELES / CALLE ALCALA Madrid,-3.6936264,40.4191319
2019-03-27 22:00:00,2019-03-27 00:00:00,2019,Noche,Laborable,Caida,Moderada,Despejado,CENTRO,PLAZA. EMPERADOR CARLOS V / CALLE SANTA ISABEL Madrid,-3.6928509,40.4081395
2019-03-28 15:00:00,2019-03-28 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,CENTRO,AVDA. GRAN VIA DE SAN FRANCISCO 4 Madrid,-3.7121846,40.4077415
2019-03-29 18:00:00,2019-03-29 00:00:00,2019,Tarde,Laborable,Colision,Moderada,Despejado,MONCLOA-ARAVACA,AVDA. MIRAFLORES 48 Madrid,-3.7319304,40.4707589
2019-03-29 17:00:00,2019-03-29 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,TETUÁN,CALLE ORENSE 15 Madrid,-3.6954944,40.4487989
2019-03-30 20:00:00,2019-03-30 00:00:00,2019,Tarde,Vispera,Colision,Grave,Despejado,HORTALEZA,AVDA. SECUNDINO ZUAZO / CALLE CESAR CORT BOTI Madrid,-3.6124067,40.49523370000001
2019-03-30 14:00:00,2019-03-30 00:00:00,2019,Tarde,Vispera,Colision,Leve,Despejado,ARGANZUELA,CALLE JUAN DUQUE / CALLE MORENO NIETO Madrid,-3.719479,40.4120573
2019-03-30 10:00:00,2019-03-30 00:00:00,2019,Mañana,Vispera,Colision,Moderada,Despejado,BARAJAS,GTA. ERMITA DE LA VIRGEN DE LA SOLEDAD Madrid,-3.5819493,40.467763100000006
2019-03-31 12:00:00,2019-03-31 00:00:00,2019,Mañana,Festivo,Caida,Leve,Lluvia,SALAMANCA,PASEO. CASTELLANA 16 Madrid,-3.6891291,40.428411
2019-04-01 23:00:00,2019-04-01 00:00:00,2019,Noche,Laborable,Colision,Leve,Despejado,ARGANZUELA,PASEO. DELICIAS 32 Madrid,-3.6937498,40.4043232
2019-04-01 18:00:00,2019-04-01 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,MONCLOA-ARAVACA,JUNTO A HUERTA DE LA PARTIDA Madrid,-3.7245731,40.41783059999999
2019-04-01 16:00:00,2019-04-01 00:00:00,2019,Tarde,Laborable,Caida,Moderada,Despejado,ARGANZUELA,RONDA. TOLEDO 10 Madrid,-3.7101352,40.406115
2019-04-01 15:00:00,2019-04-01 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,SALAMANCA,CALLE ALCALA 91 Madrid,-3.6849785,40.4210254
2019-04-02 14:00:00,2019-04-02 00:00:00,2019,Tarde,Laborable,Colision,Leve,Lluvia,FUENCARRAL-EL PARDO,"AUTOV. M-607, +01500S Madrid",-3.6917822,40.5278709
2019-04-02 14:00:00,2019-04-02 00:00:00,2019,Tarde,Laborable,Colision,Leve,Lluvia,FUENCARRAL-EL PARDO,"AUTOV. M-607, +01500S Madrid",-3.6917822,40.5278709
2019-04-03 17:00:00,2019-04-03 00:00:00,2019,Tarde,Laborable,Caida,Moderada,Despejado,PUENTE DE VALLECAS,IDB. PARQUE LINEAL DEL MANZANARES Madrid,-3.6781098,40.35628270000001
2019-04-03 15:00:00,2019-04-03 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,MORATALAZ,AVDA. DOCTOR GARCIA TAPIA 157A Madrid,-3.6302943,40.4077394
2019-04-04 22:00:00,2019-04-04 00:00:00,2019,Noche,Laborable,Colision,Leve,Despejado,CENTRO,CALLE GRAN VIA / METRO. PLAZA DE ESPAÑA Madrid,-3.7111835,40.423628
