fecha,dia,year,horario,festividad,tipo_accidente,lesividad,distrito,direccion,lon,lat,meteo_Despejado,meteo_Lluvia,meteo_Niebla
2019-01-18 13:00:00,2019-01-18 00:00:00,2019,2,1,Colision,Moderada,VICÁLVARO,CALLE VILLABLANCA 11 Madrid,-3.6071373,40.40879710000001,1,0,0
2019-01-18 08:00:00,2019-01-18 00:00:00,2019,1,1,Caida,Moderada,CENTRO,CALLE GENOVA 2 Madrid,-3.6910144,40.42574370000001,1,0,0
2019-01-19 21:00:00,2019-01-19 00:00:00,2019,3,1,Colision,Leve,SALAMANCA,PLAZA. INDEPENDENCIA / CALLE ALCALA Madrid,-3.6882209,40.4199114,0,1,0
2019-01-19 11:00:00,2019-01-19 00:00:00,2019,1,1,Caida,Moderada,FUENCARRAL-EL PARDO,CTRA. EL PARDO A FUENCARRAL Madrid,-3.7450612,40.5100311,1,0,0
2019-01-21 17:00:00,2019-01-21 00:00:00,2019,2,1,Colision,Moderada,HORTALEZA,CALLE SAN ENRIQUE DE OSSO 36 Madrid,-3.6420714,40.5053001,1,0,0
2019-01-23 16:00:00,2019-01-23 00:00:00,2019,2,1,Colision,Leve,PUENTE DE VALLECAS,AVDA. ALBUFERA 149 Madrid,-3.6574486,40.3922584,1,0,0
2019-01-24 20:00:00,2019-01-24 00:00:00,2019,2,1,Otro,Leve,PUENTE DE VALLECAS,AVDA. ALBUFERA / CALLE PUERTO DE CANFRANC Madrid,-3.6644166,40.3957987,1,0,0
2019-01-24 11:00:00,2019-01-24 00:00:00,2019,1,1,Imprudencia,Leve,TETUÁN,CALLE BRAVO MURILLO / CALLE PENSAMIENTO Madrid,-3.6992026,40.4597576,1,0,0
2019-01-24 11:00:00,2019-01-24 00:00:00,2019,1,1,Imprudencia,Leve,TETUÁN,CALLE BRAVO MURILLO / CALLE PENSAMIENTO Madrid,-3.6992026,40.4597576,1,0,0
2019-01-25 09:00:00,2019-01-25 00:00:00,2019,1,1,Colision,Leve,RETIRO,"CALLE ALFONSO XI , CALLE ALCALA Madrid",-3.690491,40.4196967,1,0,0
