fecha,meteo,tipo_accidente,lesividad,distrito,direccion
2019-01-01 14:00:00,Despejado,Colision,Moderada,SALAMANCA,CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ
2019-01-02 21:00:00,Despejado,Colision,Grave,HORTALEZA,AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES
2019-01-03 14:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS,CALL. FELIPE ALVAREZ 10
2019-01-03 13:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS,AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA
2019-01-03 13:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS,AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA
2019-01-03 10:00:00,Despejado,Caida,Moderada,MONCLOA-ARAVACA,CTRA. DEHESA DE LA VILLA 1
2019-01-04 17:00:00,Despejado,Colision,Leve,CHAMARTÍN,CALL. PRADILLO 26
2019-01-04 14:00:00,Despejado,Colision,Leve,MORATALAZ,CALL. CAÑON DEL RIO LOBOS 7A
2019-01-07 14:00:00,Despejado,Colision,Leve,FUENCARRAL-EL PARDO,CALL. NUESTRA SEÑORA DE VALVERDE / CALL. DOCTOR JUAN BRAVO
2019-01-08 21:00:00,Despejado,Imprudencia,Leve,ARGANZUELA,CALL. PUERTO DE LA CRUZ VERDE 49
2019-01-08 21:00:00,Despejado,Imprudencia,Leve,ARGANZUELA,CALL. PUERTO DE LA CRUZ VERDE 49
2019-01-08 13:00:00,Despejado,Caida,Moderada,FUENCARRAL-EL PARDO,C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE
2019-01-09 15:00:00,Despejado,Colision,Leve,CARABANCHEL,CALL. ANTONIO DE LEYVA 84
2019-01-09 13:00:00,Despejado,Colision,Leve,CENTRO,CALL. GRAN VIA 66
2019-01-10 20:00:00,Despejado,Caida,Moderada,ARGANZUELA,PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALL. GASOMETRO
2019-01-11 16:00:00,Despejado,Colision,Leve,CENTRO,CALL. GRAN VIA / CALL. SAN BERNARDO
2019-01-12 23:00:00,Despejado,Imprudencia,Leve,LATINA,POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA
2019-01-12 22:00:00,Despejado,Colision,Leve,CARABANCHEL,CALL. GENERAL RICARDOS / GTA. VALLE DE ORO
2019-01-12 22:00:00,Despejado,Imprudencia,Moderada,CARABANCHEL,AVDA. POBLADOS / CALL. SECOYA
2019-01-12 13:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS,AVDA. ENSANCHE DE VALLECAS 44
2019-01-12 13:00:00,Despejado,Colision,Leve,LATINA,CALL. SANCHIDRIAN 13A
2019-01-14 23:00:00,Despejado,Colision,Leve,CHAMBERÍ,CALL. MIGUEL ANGEL / PASEO. GENERAL MARTINEZ CAMPOS
2019-01-14 20:00:00,Despejado,Caida,Moderada,FUENCARRAL-EL PARDO,PASEO. EL PARDO 37
2019-01-14 16:00:00,Despejado,Colision,Leve,CIUDAD LINEAL,CALL. SANTA GENOVEVA / PLAZA. AGUSTIN GONZALEZ
2019-01-14 11:00:00,Despejado,Caida,Leve,CENTRO,CALL. FLORA 1
2019-01-16 15:00:00,Despejado,Caida,Leve,CHAMBERÍ,PLAZA. CONDE DEL VALLE DE SUCHIL 3
2019-01-16 09:00:00,Despejado,Colision,Leve,CIUDAD LINEAL,AVDA. DAROCA / CALL. NICOLAS SALMERON
2019-01-17 20:00:00,Despejado,Colision,Leve,CENTRO,CALL. ARENAL / CALL. DONADOS
2019-01-17 16:00:00,Despejado,Colision,Leve,CHAMARTÍN,CALL. SERRANO 141
2019-01-17 06:00:00,Despejado,Imprudencia,Moderada,RETIRO,CALL. DOCE DE OCTUBRE 26
2019-01-18 18:00:00,Despejado,Colision,Leve,SAN BLAS-CANILLEJAS,AVDA. FERMINA SEVILLANO 42
2019-01-18 13:00:00,Despejado,Colision,Moderada,VICÁLVARO,CALL. VILLABLANCA 11
2019-01-18 08:00:00,Despejado,Caida,Moderada,CENTRO,CALL. GENOVA 2
2019-01-19 21:00:00,Lluvia,Colision,Leve,SALAMANCA,PLAZA. INDEPENDENCIA / CALL. ALCALA
2019-01-19 11:00:00,Despejado,Caida,Moderada,FUENCARRAL-EL PARDO,CTRA. EL PARDO A FUENCARRAL
2019-01-21 17:00:00,Despejado,Colision,Moderada,HORTALEZA,CALL. SAN ENRIQUE DE OSSO 36
2019-01-23 16:00:00,Despejado,Colision,Leve,PUENTE DE VALLECAS,AVDA. ALBUFERA 149
2019-01-24 20:00:00,Despejado,Otro,Leve,PUENTE DE VALLECAS,AVDA. ALBUFERA / CALL. PUERTO DE CANFRANC
2019-01-24 11:00:00,Despejado,Imprudencia,Leve,TETUÁN,CALL. BRAVO MURILLO / CALL. PENSAMIENTO
2019-01-24 11:00:00,Despejado,Imprudencia,Leve,TETUÁN,CALL. BRAVO MURILLO / CALL. PENSAMIENTO
2019-01-25 09:00:00,Despejado,Colision,Leve,RETIRO,"CALLE ALFONSO XI , CALLE ALCALA"
2019-01-25 04:00:00,Despejado,Colision,Leve,CENTRO,CALL. GRAN VIA 78
2019-01-26 22:00:00,Despejado,Colision,Leve,SALAMANCA,CALL. MARIA DE MOLINA 60
2019-01-27 16:00:00,Despejado,Imprudencia,Moderada,CENTRO,CALL. ALCALA 44
2019-01-27 16:00:00,Despejado,Imprudencia,Leve,CENTRO,CALL. ALCALA 44
2019-01-28 18:00:00,Despejado,Caida,Leve,ARGANZUELA,CALL. MENDEZ ALVARO / CALL. TITAN
2019-01-29 16:00:00,Lluvia,Caida,Moderada,CENTRO,PASEO. RECOLETOS 23
2019-01-30 13:00:00,Despejado,Colision,Moderada,CARABANCHEL,AVDA. CARABANCHEL ALTO 122
2019-01-30 12:00:00,Despejado,Imprudencia,Leve,CARABANCHEL,CALL. TOMASA RUIZ 1
2019-02-01 14:00:00,Despejado,Colision,Leve,RETIRO,CALL. DOCTOR ESQUERDO / CALL. DOCTOR ESQUERDO
2019-02-01 02:00:00,Lluvia,Colision,Leve,CHAMBERÍ,CALL. SANTA ENGRACIA / CALL. RIOS ROSAS
2019-02-01 00:00:00,Lluvia,Colision,Leve,SALAMANCA,CALL. FRANCISCO SANTOS / CALL. MARTINEZ IZQUIERDO
2019-02-02 12:00:00,Despejado,Colision,Leve,PUENTE DE VALLECAS,CALL. MARTINEZ DE LA RIVA 4
2019-02-02 11:00:00,Despejado,Imprudencia,Leve,USERA,CALL. MARCELO USERA / CALL. MANUEL NOYA
2019-02-02 11:00:00,Despejado,Imprudencia,Leve,USERA,CALL. MARCELO USERA / CALL. MANUEL NOYA
2019-02-02 00:00:00,Despejado,Caida,Moderada,SALAMANCA,CALL. MARIA DE MOLINA 18
2019-02-03 17:00:00,Despejado,Caida,Leve,MONCLOA-ARAVACA,CALL. ALTAMIRANO / PASEO. PINTOR ROSALES
2019-02-06 20:00:00,Despejado,Colision,Leve,CHAMARTÍN,CALL. AGUSTIN DE FOXA 30
2019-02-06 18:00:00,Despejado,Colision,Leve,SALAMANCA,CALL. ALCALA 173
2019-02-06 17:00:00,Despejado,Caida,Leve,CENTRO,CALL. GRAN VIA / CALL. ALCALA
2019-02-06 10:00:00,Despejado,Colision,Moderada,SALAMANCA,CALL. JUAN BRAVO 17
2019-02-06 08:00:00,Despejado,Imprudencia,Moderada,FUENCARRAL-EL PARDO,AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA
2019-02-06 08:00:00,Despejado,Imprudencia,Leve,FUENCARRAL-EL PARDO,AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA
2019-02-07 19:00:00,Despejado,Caida,Leve,CHAMARTÍN,CALL. PRINCIPE DE VERGARA / GTA. LOPEZ DE HOYOS
2019-02-07 16:00:00,Despejado,Colision,Leve,CHAMBERÍ,CALL. VALLEHERMOSO / CALL. FERNANDEZ DE LOS RIOS
2019-02-07 09:00:00,Despejado,Imprudencia,Leve,CHAMARTÍN,CALL. PRADILLO 42
2019-02-08 22:00:00,Despejado,Caida,Leve,CENTRO,CALL. ALCALA 13
2019-02-08 22:00:00,Despejado,Colision,Leve,CENTRO,CALL. MESON DE PAREDES / CALL. JUANELO
