fecha,meteo,tipo_accidente,lesividad,distrito,direccion,horario,dia,festividad,lon,lat
2019-01-18 08:00:00,Despejado,Caida,Moderada,CENTRO,CALLE GENOVA 2 Madrid,Mañana,2019-01-18,Laborable,-3.6910144,40.4257437
2019-01-19 21:00:00,Lluvia,Colision,Leve,SALAMANCA,PLAZA. INDEPENDENCIA / CALLE ALCALA Madrid,Noche,2019-01-19,Laborable,-3.6882209,40.4199114
2019-01-19 11:00:00,Despejado,Caida,Moderada,FUENCARRAL-EL PARDO,CTRA. EL PARDO A FUENCARRAL Madrid,Mañana,2019-01-19,Laborable,-3.7450612,40.5100311
2019-01-21 17:00:00,Despejado,Colision,Moderada,HORTALEZA,CALLE SAN ENRIQUE DE OSSO 36 Madrid,Tarde,2019-01-21,Laborable,-3.6420714,40.5053001
2019-01-23 16:00:00,Despejado,Colision,Leve,PUENTE DE VALLECAS,AVDA. ALBUFERA 149 Madrid,Tarde,2019-01-23,Laborable,-3.6574486,40.3922584
2019-01-24 20:00:00,Despejado,Otro,Leve,PUENTE DE VALLECAS,AVDA. ALBUFERA / CALLE PUERTO DE CANFRANC Madrid,Tarde,2019-01-24,Laborable,-3.6644166,40.3957987
2019-01-24 11:00:00,Despejado,Imprudencia,Leve,TETUÁN,CALLE BRAVO MURILLO / CALLE PENSAMIENTO Madrid,Mañana,2019-01-24,Laborable,-3.6992026,40.4597576
2019-01-24 11:00:00,Despejado,Imprudencia,Leve,TETUÁN,CALLE BRAVO MURILLO / CALLE PENSAMIENTO Madrid,Mañana,2019-01-24,Laborable,-3.6992026,40.4597576
2019-01-25 09:00:00,Despejado,Colision,Leve,RETIRO,"CALLE ALFONSO XI , CALLE ALCALA Madrid",Mañana,2019-01-25,Laborable,-3.690491,40.4196967
2019-01-25 04:00:00,Despejado,Colision,Leve,CENTRO,CALLE GRAN VIA 78 Madrid,Noche,2019-01-25,Laborable,-3.710212499999999,40.4233585
2019-01-26 22:00:00,Despejado,Colision,Leve,SALAMANCA,CALLE MARIA DE MOLINA 60 Madrid,Noche,2019-01-26,Laborable,-3.6787593,40.4372675
2019-01-27 16:00:00,Despejado,Imprudencia,Moderada,CENTRO,CALLE ALCALA 44 Madrid,Tarde,2019-01-27,Festivo,-3.6960347,40.4184039
2019-01-27 16:00:00,Despejado,Imprudencia,Leve,CENTRO,CALLE ALCALA 44 Madrid,Tarde,2019-01-27,Festivo,-3.6960347,40.4184039
2019-01-28 18:00:00,Despejado,Caida,Leve,ARGANZUELA,CALLE MENDEZ ALVARO / CALLE TITAN Madrid,Tarde,2019-01-28,Laborable,-3.6788784,40.3919749
2019-01-29 16:00:00,Lluvia,Caida,Moderada,CENTRO,PASEO. RECOLETOS 23 Madrid,Tarde,2019-01-29,Laborable,-3.6923964,40.4227242
